eight ball	1/8 ounce of cocaine
fries	crack cocaine
frios	marijuana laced with pcp
frisco special	cocaine, heroin, and lsd
frisco speedball	cocaine, heroin, and a dash of lsd
friskie powder	cocaine
frontloading	the process of transferring a drug solution from one syringe to another
fry	marijuana cigarettes dipped in embalming fluid
fry daddy	crack and marijuana
fry sticks	marijuana cigarettes dipped in embalming fluid
ftl	fuck law
ftp	fuck police
ftw	fuck world
fu	marijuana
fuel	marijuana mixed with insecticides
fuete	hypodermic needle
fugi	crack
fuma d'angola (portugese)	marijuana
furra	heroin
g	$1000 or 1 gram of drugs
g-riffic	gamma hydroxybutyrate (ghb)
g-rock	one gram rock cocaine
g-shot	small dose of drugs used to hold off withdrawal symptoms until full dose can be taken
g-ster	gangster
gaffel	fake cocaine
gaffle	fake crack, soap, candy or lawn fertilizer sold as crack
gaffus	hypodermic needle
gagers	methcathinone
gaggers	methcathinone
gaggler	amphetamine
gallo	marijuana cigarette
galloping horse	heroin
gallup	heroin
gamma oh	gamma hydroxybutyrate (ghb)
gamot	heroin
gang banging	involved in gang activity
gange	marijuana
gangster	marijuana
gangster pills	depressants
gangstered	slight to gang
ganja	marijuana
gank	fake crack
ganoobies	state of being stoned and laughing uncontrollably
garbage	inferior quality marijuana
garbage heads	users who buy crack from street dealers instead of cooking it themselves
garbage rock	crack cocaine
gash	marijuana
gasper	marijuana cigarette
gasper stick	marijuana cigarette
gato	heroin
gauge	marijuana
gauge butt	marijuana
gb	depressants
gbh	gamma hydroxybutyrate(ghb)
gbl	gamma butyrolactone
gear	drugs
gee	opium
geek	crack mixed with marijuana
geek-joints	cigarettes or cigars filled with tobacco and crack
geeker	crack users
geep	methamphetamine
geeter	methamphetamine
geeze	to inhale cocaine
geezer	to inject a drug
geezin a bit of dee gee	to inject a drug
george	heroin
george smack	heroin
georgia home boy	gamma hydroxybutyrate (ghb)
get a gage up	to smoke marijuana
get a gift	obtain drugs
get down	to inject a drug
get high	to smoke marijuana
get lifted	under the influence of drugs
get off	to inject a drug
get off houses	private places heroin users can purchase & use heroin for a fee
get the wind	to smoke marijuana
get through	obtain drugs
get up with you	when i see you again
getgo	methamphetamine
getting glassed	to snort methamphetamine
getting roached	using rohypnol
getting snotty	using heroin
gf	Guerrero familiwarrior family)
ghana	marijuana
ghb	gamma hydroxybutyrate
ghost	lsd
ghostbusting	smoking cocaine
gick monster	crack smoker
gift-of-the-sun	cocaine
gift-of-the-sun-god	cocaine
giggle smoke	marijuana
giggle weed	marijuana
gimmick	drug injection equipment
gimmie	crack and marijuana
gin	cocaine
girl scout cookies	higher grade of weed
girlfriend	cocaine
giro house	non-bank financial institutions for businesses frequently used by drug traffickers to launder drug proceeds
give wings	inject someone or teach someone to inject heroin
glacines	heroin
glad stuff	cocaine
glading	using inhalant
glass	heroin
glass gun	hypodermic needle
glazed doughnut	"vice lords term to ""put down"" gangster disciples"
glo	crack cocaine
gluey	one who sniffs or inhales glue
go fast	methamphetamine
go into a sewer	to inject a drug
go loco	to smoke marijuana
go on a sleigh ride	to inhale cocaine
go-between	intermediary between dealer and buyer
go-fast	methcathinone
goat	heroin
goblet of jam	marijuana
god's drug	morphine
god's flesh	lsd
god's medicine	opium
gold	marijuana
gold dust	cocaine
gold star	marijuana
gold wings	exact requirements are unknown
golden	marijuana
golden dragon	lsd
golden eagle	4-methylthioamphetamine
golden girl	heroin
golden leaf	very high quality marijuana
golf ball	crack cocaine
golf balls	depressants
golpe	heroin
goma	black tar heroin plus opium
gondola	opium
gone, shot to the curb	lost everything to crack
gong	marijuana
gonj	marijuana
goob	methcathinone
good and plenty	heroin
good butt	marijuana cigarette
good giggles	marijuana
good go	proper amount of drugs for the money paid
good h	heroin
good horse	heroin
good lick	good drugs
good stuff	high potency drug, especially marijuana
goodfellas	fentanyl
goody-goody	marijuana
goof butt	marijuana cigarette
goofball	cocaine mixed with heroin
goofers	depressants
goofy's	lsd
goon	pcp
goon dust	pcp
goop	gamma hydroxybutyrate (ghb)
gopher	person paid to pickup drugs
gorge	marijuana
goric	opium
gorilla biscuits	pcp
gorilla pills	depressants
gorilla tab	pcp
got it going on	fast sale of drugs
graduate	completely stop using drugs
gram	hashish
grand dragon	high ranking official in ku klux klan
grand wizard	high ranking official in ku klux klan
granulated orange	methamphetamine
grape parfait	lsd
grass	marijuana
grass brownies	marijuana
grasshopper	marijuana
grata	marijuana
gravel	crack cocaine
gravy	heroin
grease	currency
great bear	fentanyl
great hormones at bedtime	gamma hydroxybutyrate (ghb)
great tobacco	opium
greek	combination of marijuana and powder cocaine
green	inferior quality marijuana
green buds	marijuana
green double domes	lsd
green dragons	depressants
green frog	depressants
green goddess	marijuana
green goods	paper currency
green leaves	pcp
green single dome	lsd
green tea	pcp
green triangles	mdma
green wedge	lsd
green wings	earned when member orally copulated or had sexual intercourse with female whom has venereal disease
greenies	amphetamines
greens	marijuana
greens/green stuff	paper currency
greeter	marijuana
gremmies	combination of cocaine and marijuana
greta	marijuana
grey shields	lsd
griefo	marijuana
griefs	marijuana
grievous bodily harm	gamma hydroxybutyrate (ghb)
grifa	marijuana
griff	marijuana
griffa	marijuana
griffo	marijuana
grit	crack cocaine
grizzy	marijuana
groceries	crack cocaine
ground control	the guide or caretaker during a hallucinogenic experience
grow(s)	marijuana growing operations (indoor and outdoor)
gum	opium
guma	opium
gun	to inject a drug
gunga	marijuana
gungeon	marijuana
gungun	marijuana
gunja	marijuana
gutter	vein into which a drug is injected
gutter junkie	addict who relies on others to obtain drugs
gwm	mdma
gym candy	steroids
gyve	marijuana cigarette
h	heroin
h & c	heroin and cocaine
h caps	heroin
hache	heroin
hail	crack cocaine
haircut	marijuana
hairy	heroin
half	1/2 ounce
half a football field	50 rocks of crack
half elbows	1/2 pound of methamphetamine
half g	$500
half load	15 bags (decks) of heroin
half moon	peyote
half piece	1/2 ounce of heroin or cocaine
half track	crack cocaine
half-a-c	$50 bill
ham	acid
hamburger helper	crack cocaine
hammerheading	mdma  used in combination with viagra
hand signs	hand gesture used to identify gang
hand-to-hand	direct delivery and payment
hand-to-hand man	transient dealers who carry small amounts of crack
handlebars	combination of crack cocaine and alprazolam
hanhich	marijuana
hanyak	smokable methamphetamine
happy cigarette	marijuana cigarette
happy drug	mdma
happy dust	cocaine
happy pill	mdma
happy powder	cocaine
happy stick	marijuana and pcp combination
happy sticks	pcp
happy trails	cocaine
hard ball	crack cocaine
hard candy	heroin
hard line	crack cocaine
hard rock	crack cocaine
hard stuff	heroin
hardware	isobutyl nitrite
harry	heroin
harsh	marijuana
hats	lsd
have a dust	cocaine
hawaiian	very high potency marijuana
hawaiian black	marijuana
hawaiian homegrown hay	marijuana
hawaiian sunshine	lsd
hawk	lsd
hawkers	individuals who announcing drug availability
hay	marijuana
hay butt	marijuana cigarette
hayron	heroin
haze	lsd
hazel	heroin
hcp	pcp
he-man	fentanyl
he-she	heroin mixed with cocaine
head drugs	amphetamine
head light	lsd
head shop	store specializing in the sale of drug paraphernalia
headies	high quality marijuana
heart-on	inhalants
hearts	amphetamine
heat	the police or narcotics officers
heaven	cocaine
heaven & hell	pcp
heaven dust	cocaine
heavenly blue	lsd
heeled	having plenty of money
helen	heroin
hell	crack cocaine
hell dust	heroin
henpecking	searching on hands and knees for crack
henry	1/8 oz marijuana
henry	heroin
henry	one eighth of marijuana
henry viii	cocaine
hera	heroin
herb	marijuana
herb and al	marijuana and alcohol
herba	marijuana
herbal bliss	mdma
herbs	cannabis
heri	heroin
herms	pcp
hero	heroin
hero of the underworld	heroin
herone	heroin
hessle	heroin
hh	heil hitler
hiagra in a bottle	inhalants
high priest	high ranking male occult leader
highball	inhalants
highbeams	the wide eyes of a person on crack
hikori	peyote
hikuli	peyote
hillbilly heroin	oxycontin
hinkley	pcp
hippie crack	inhalants
hippieflip	use of mushrooms and mdma
hironpon	smokable methamphetamine
hiropon	smokable methamphetamine
hit	to smoke marijuana
hit house	house where users go to shoot up and leave the owner drugs as payment
hit the hay	to smoke marijuana
hit the main line	to inject a drug
hit the needle	to inject a drug
hit the pit	to inject a drug
hitch up the reindeers	to inhale cocaine
hitter	little pipe designed for only one hit
hitters	people who inject others who have hard to find veins in exchange for drugs
hitting the slopes	snorting coke
hitting up	to inject a drug
hocus	marijuana
hog	pcp
holding	possessing drugs
holiday meth	green methamphetamine produced using drano crystals
holy terror	heroin
hombre	heroin
hombrecitos	psilocybin
homegrown	marijuana
homicide	heroin cut with scopolamine or strychnine
honey	currency
honey blunts	marijuana cigars sealed with honey
honey oil	ketamine
honeymoon	early stages of drug use before addiction or dependency develops
hong-yen	heroin in pill form
hooch	marijuana
hoodie	marijuana cigarette
hooked	addicted
hooks	people nation members particularly vice lords
hooter	cocaine
hop/hops	opium
hopped up	under the influence of drugs
horn	to inhale cocaine
horning	to inhale cocaine
horse	heroin
horse heads	amphetamine
horse tracks	pcp
horse tranquilizer	pcp
horsebite	heroin
hospital heroin	diluadid
hot box	smoking in a car with the windows up
hot dope	heroin
hot heroin	heroin poisoned to give to a police informant
hot ice	smokable methamphetamine
hot load/hot shot	lethal injection of a narcotic
hot rolling	liquefying methamphetamine in an eye dropper and then inhaling it
hot stick	marijuana cigarette
hotcakes	crack cocaine
hotrailing	to heat methamphetamine and inhale the vapour through nose using a plastic tube
house fee	money paid to enter a crackhouse
house piece	crack given to the owner of a crackhouse or apartment where crack users congregate
how do you like me now?	crack cocaine
hows	morphine
hrn	heroin
hubba	crack cocaine
hubba pigeon	crack users looking for rocks on the floor after a police raid
hubba, i am back	crack cocaine
hubbas	crack
hubbas (northern ca)	crack
huff	inhalants
huffer	inhalant abuser
huffing	to sniff an inhalant
hug drug	mdma
hugs and kisses	combination of methamphetamine and mdma
hulling	using others to get drugs
hunter	cocaine
hustle	attempt to obtain drug customers
hyatari	peyote
hybrid gang	gang that does not fall within traditional guide lines for street gang
hydro	amphetamine
hydrogrows	indoor marijuana growing operations
hype	heroin addict
hype stick	hypodermic needle
i am back	crack
iboga	amphetamine
ice	cocaine
ice cream habit	occasional use of drugs
ice cube	crack cocaine
icing	cocaine
icm	international crip mafia
idiot pills	depressants
igloo	mdma
ill	pcp
illies	marijuana dipped in pcp
illing	marijuana dipped in pcp
illy	marijuana cigarettes soaked in embalming fluid and dried
illy momo	pcp
inbetweens	amphetamine
inca message	cocaine
indian boy	marijuana
indian hay	marijuana from india
indian hemp	marijuana
indo	marijuana term from northern ca
indonesian bud	marijuana
inod	in need of drugs
instaga	marijuana
instagu	marijuana
instant zen	lsd
international crip mafia	all crip gangs
interplanetary mission	travel from one crackhouse to another to search for crack
isda	heroin
issues	crack cocaine
j	joint
jab/job	to inject a drug
jack	another name for gang member
jack	steal someone else's drugs
jack-up	to inject a drug
jackpot	fentanyl
jackson	amphetamine
jag	keep a high going
jam	cocaine
jam cecil	amphetamine
jamaican gold	marijuana
jamaican red hair	marijuana
jane	marijuana
jay	joint
jay	marijuana cigarette
jay smoke	marijuana
jee gee	heroin
jeeps riding	law enforcement nearby in an SUV
jefferson airplane	used match cut in half to hold a partially smoked marijuana cigarette
jejo	cocaine
jellies	combination of depressants andmdma  in gel form
jelly	cocaine
jelly baby	amphetamine
jelly bean	amphetamine
jelly beans	crack cocaine
jenny	heroin
jerry garcias	mdma
jerry springer	heroin
jet	ketamine
jet fuel	pcp
jib	gamma hydroxybutyrate (ghb)
jim jones	marijuana laced with cocaine and pcp
jive	marijuana
jive doo jee	heroin
jive stick	marijuana
joharito	heroin
johnson	crack cocaine
joint	marijuana cigarette
jojee	heroin
jolly bean	amphetamine
jolly green	marijuana
jolly pop	casual user of heroin
jolt	strong reaction to drugs
jones	heroin
jonesing	need for drugs
joy	heroin
joy flakes	heroin
joy juice	depressants
joy plant	opium
joy pop	to inject a drug
joy popping	occasional use of drugs
joy powder	cocaine
joy smoke	marijuana
joy stick	marijuana cigarette
ju-ju	marijuana cigarette
juan valdez	marijuana
juanita	marijuana
juggle	sell drugs to another addict to support a habit
juggler	teen-aged street dealer
jugs	amphetamine
juice	pcp
juice joint	marijuana cigarette sprinkled with crack
juja	marijuana
jum	sealed plastic bag containing crack
jumbos	large vials of crack sold on the streets
jump in	where two or more gang members fight or beat up prospective member
junco	heroin
junk	cocaine
junkie	addict
junkie kits	glass pipe and copper mesh
k-blast	pcp
k-hole	periods of ketamine-induced confusion
K-lots	bags of 1,000mdma pills
kabak	marijuana
kabayo	heroin
kabuki	crack pipe made from a plastic rum bottle and a rubber spark plug cover
kaff	very potent marijuana from morocco, lebanon and other arab/middle eastern countries
kaksonjae	smokable methamphetamine
kalakit	marijuana
kali	marijuana
kangaroo	crack
kansas grass	marijuana
kaps	pcp
karachi	heroin, phenobarbital, and methaqualone
karo	codeine cough syrup
kate bush	marijuana
kawaii electric	marijuana
kaya	marijuana
kb	marijuana
kee	marijuana
kentucky blue	marijuana
kester plant	drugs hidden in the rectum
ket	ketamine
key	marijuana
kgb (killer green bud)	marijuana
khat	amphetamine
khayf	marijuana from morocco or lebanon
ki	marijuana
kibbles & bits	small crumbs of crack
kick	inhalants
kick stick	marijuana cigarette
kicker	oxycontin
kiddie dope	prescription drugs
kief	marijuana from morocco or lebanon
kiff	marijuana cigarette
killer	marijuana
killer green bud	marijuana
killer joints	pcp
killer weed	marijuana
killer weed (1980's)	marijuana and pcp
kilo	22 pounds
kilter	marijuana
kind bud	high quality marijuana
king	cocaine
king bud	marijuana
king ivory	fentanyl
king kong pills	depressants
king's habit	cocaine
kiss	term where black guerillfamily has issued death warrant on person
kissing	the exchange of plastic wrapped rocks (crack) by kissing or through mouth to mouth transfer
kit	equipment used to inject drugs
kit kat	ketamine
kite	usually used in corrections settings
kitkat	ketamine
kitty flipping	use of ketamine andmdma
kj	pcp
kleenex	mdma
klingons	crack addicts
kokomo	crack cocaine
kona gold	marijuana
kools	pcp
kos	kill-on-sight
kpin	klonopin
krippy	marijuana
kryptonite	crack cocaine
krocodil	really bad synthetic desomorphine
krystal	pcp
krystal joint	pcp
kswyss	kill slobs when you see some
ku	war
ku klux klan	white supremacist organization dedicated to old south 
kumba	marijuana
kush	marijuana
kw	pcp
l	blunt
la	long-acting amphetamine
la buena	heroin
"la chiva (""goat"")"	heroin
la glass	smokable methamphetamine
la ice	smokable methamphetamine
la rocha	rohypnol
lace	cocaine and marijuana
lactone	gbl
lady	cocaine
lady caine	cocaine
lady snow	cocaine
lakbay diva	marijuana
lamborghini	crack pipe made from a plastic rum bottle and a rubber spark plug cover
las mujercitas	psilocybin
lason sa daga	lsd
late night	cocaine
laugh and scratch	to inject a drug
laughing grass	marijuana
laughing weed	marijuana
lay back	depressants
lay down flag	not being an active gang member anymore
lay-out	equipment for taking drugs
lazy bitch	one pound of weed
lbj	heroin plus lsd plus pcp
lcn	Italian mafilcosnostra
leaf	cocaine
leak	marijuana/pcp combination
leaky bolla	pcp
leaky leak	pcp
lean	codeine cough syrup
leapers	amphetamine
leaping	under the influence of drugs
legal speed	over the counter asthma drug
leme	Mexican mafia
lemon 714	pcp
lemon drop	methamphetamine with a dull yellow tint
lemonade	heroin
leno	marijuana
lenos	pcp
lens	lsd
leo	law enforcement officer
letf handed cigarette	marijuana
lethal weapon	pcp
letter biscuits	mdma 
lettuce	money
lg (lime green)	marijuana
lib (librium)	depressants
lid	1 ounce of marijuana
lid poppers	amphetamine
lid proppers	amphetamine
light stuff	marijuana
lightning	amphetamine
lima	marijuana
lime acid	lsd
line	cocaine
liprimo	marijuana and crack rolled in a joint
lipton tea	poor quality drugs
liquid e	gamma hydroxybutyrate (ghb)
liquid ecstasy	gamma hydroxybutyrate (ghb)
liquid g	gamma hydroxybutyrate (ghb)
liquid lady	cocaine that is dissolved in water and ingested as a nasal spray
liquid x	gamma hydroxybutyrate (ghb)
lit	high
lit up	under the influence of drugs
lithium	better grade methamphetamine
lithium scabs	open scabs and skin lesions due to drug abuse
little bomb	heroin
little boy	heroin
little ones	pcp
little smoke	marijuana
live ones	pcp
lk	Latin kings
lkcn	Latin king charter nation
lkn	Latin king nation
lkqn	Latin king queen nation
ll	marijuana
llesca	marijuana
load	25 bags of heroin
load of laundry	methamphetamine
loaded	high
loaf	marijuana
lobo	marijuana
locker room	isobutyl nitrite
loco	marijuana
loco weed	marijuana
locoweed	marijuana
log	marijuana cigarette
logor	lsd
loony toons	lsd
loose shank	marijuana
lori	loratab
lou reed	speed-amphetamine
loud	slang referring to marijuana
loused	covered by sores and abscesses from repeated use of unsterile needles
love affair	cocaine
love boat	marijuana dipped in formaldehyde
love drug	depressants
love flipping	use of mescaline andmdma
love leaf	marijuana/pcp combination
love pearls	alpha-ethyltryptamine
love pill	mdma
love pills	alpha-ethyltryptamine
love trip	mescaline and mdma
love weed	marijuana
loveboat	pcp
lovelies	marijuana laced with pcp
lovely	pcp
lover's speed	mdma
lovers' special	mdma
lsd	lysergic acid diethylamide
lubage	marijuana
lucifer	Satan
lucy	lsd
lucy	lsd
lucy in the sky with diamonds	lsd
ludes	depressants
luding out	depressants
luds	depressants
lunch money drug	rohypnol
lvidloca	crazy life
m	Mexican mafia
m	marijuana
m&m	depressants
ma'a	crack cocaine (samoan)
mac	heroin
macaroni	marijuana
macaroni and cheese	$5 pack of marijuana and a dime bag of cocaine
machinery	marijuana
macon	marijuana
maconha	marijuana
mad dog	pcp
madman	pcp
mafia	large scale organized crime syndicate that started in italy
mafioso	Mafia gang member
mafu	marijuana
magic	pcp
magic dust	pcp
magic mint	salvia divinorum
magic mushroom	psilocybin/psilocin
magic smoke	marijuana
magister	male spiritual leader of coven
magnus	male witch
mainline	to inject a drug
mainliner	person who injects into the vein
mama coca	cocaine
manhattan silver	marijuana
manteca	heroine
manteca	heroin
mao	amphetamines
marathons	amphetamine
marching dust	cocaine
marching powder	cocaine
mari	marijuana cigarette
maria pastora	salvia divinorum
marimba	marijuana
marshmallow reds	depressants
mary	marijuana
mary and johnny	marijuana
mary ann	marijuana
mary jane	marijuana
mary jonas	marijuana
mary warner	marijuana
mary weaver	marijuana
maryjane	marijuana
maserati	crack pipe made from a plastic rum bottle and a rubber spark plug cover
matchbox	1/4 ounce of marijuana or 6 marijuana cigarettes
matsakow	heroin
maui wauie	marijuana from hawaii
maui-wowie	marijuana
max	gamma hydroxybutyrate dissolved in water and mixed with amphetamines
maxibolin	oral steroids
mayo	cocaine
mdm	mdma
mean green	pcp
medusa	inhalants
meg	marijuana
megg	marijuana cigarette
meggie	marijuana
mellow yellow	lsd
mercedes	mdma
merchandise	drugs
merck	cocaine
merk	cocaine
mesc	mescaline
mescal	mescaline
mese	mescaline
messorole	marijuana
meth	methamphetamine
meth head	methamphetamine regular user
meth monster	one who has a violent reaction to methamphetamine
meth speed ball	methamphetamine combined with heroin
methatriol	injectable steroids
methedrine	amphetamines
methlies quik	methamphetamine
methnecks	methamphetamine addicts
methyltestosterone	oral steroids
mexican brown	marijuana
mexican crack	methamphetamine with the appearance of crack
mexican green	marijuana
mexican horse	heroin
mexican locoweed	marijuana
mexican mafia	parent Californian gang
mexican mud	heroin
mexican mushrooms	psilocybin/psilocin
mexican red	marijuana
mexican reds	depressants
mexican speedballs	crack and methamphetamine
mexican valium	rohypnol
mezc	mescaline
mft	nexus
mi vidloca	my crazy life
mickey finn	depressants
mickey's	depressant
microdot	lsd
midnight oil	opium
mighty joe young	depressants
mighty mezz	marijuana cigarette
mighty quinn	lsd
mighty white	a form of crack cocaine that is hard, white, and pure
mind detergent	lsd
mini beans	amphetamine
minibennie	amphetamine
mint	marijuana
mint leaf	pcp
mint weed	pcp
mira	opium
miss emma	morphine
miss emma	morphine
missile basing	crack liquid and pcp
mission	trip out of the crackhouse to obtain crack
mist	pcp
mister blue	morphine
mitsubishi	mdma
mix	drug environment
mixed jive	crack cocaine
mj	marijuana
mj	marijuana
mm	Mexican mafia
mo	marijuana
mo	marijuana
mob	member of blood
mob	money over bitches
modams	marijuana
mohasky	marijuana
mohasty	marijuana
mojo	cocaine
molly	mdma
monetary gangs	gang that is based on acquiring of financial gain
money talks	heroin
monkey dust	pcp
monkey tranquilizer	pcp
monkey-dribble	2 ounces of cocaine
monoamine oxidase	amphetamine
monos	cigarette made from cocaine paste and tobacco
monster	cocaine
monte	marijuana from south america
mooca/moocah	marijuana
moon	mescaline
moon gas	inhalants
moonrock	crack mixed with heroin
moonstone	when a dealer shaves a slice of mdma into a bag of heroin
mooster	marijuana
moota/mutah	marijuana
mooters	marijuana cigarette
mootie	marijuana
mootos	marijuana
mor a grifa	marijuana
morf	morphine
morning shot	amphetamine
morning wake-up	first blast of crack from the pipe
morotgara	heroin
morpho	morphine
mortal combat	high potency heroin
mosquitos	cocaine
mota/moto	marijuana
mother	marijuana
mother's little helper	depressants
motorcycle crack	methamphetamine
mouth worker	one who takes drugs orally
movie star drug	cocaine
mow the grass	to smoke marijuana
mu	marijuana
mu	marijuana
mud	heroin plus opium
muggie	marijuana
muggle	marijuana
muggles	marijuana
mujer	cocaine
mule	carrier of drugs
murder 8	fentanyl
murder one	heroin and cocaine
murotugora	heroin
mushrooms	psilocybin/psilocin
musk	psilocybin/psilocin
mustard	heroin
muta	marijuana
mutha	marijuana
muzzle	heroin
nail	marijuana cigarette
nailed	arrested
nanoo	heroin
nation	fellow gang members viewed as whole
nazimeth	methamphetamine
nazis	German right wing party that hitler formed
nbg	neighborhood based gang
nebbies	depressants
nemmies	depressants
neo nazi	new order of Nazis
nester	nuestrfamilia gang member
new acid	pcp
new addition	crack cocaine
new g	baby whose parents are gang members
new g	newly initiated gang member
new jack	new or modern style of gang members
new jack swing	heroin and morphine
new magic	pcp
new one	unused syringe
new order	an organization dedicated to advancement of whites
nexus 	2-(4-bromo-2,5 diethoxy-phenyl)-ethylamine
nexus flipping	use of nexus (2-cb) andmdma
nf	nuestrfamilia
nice and easy	heroin
nick	five dollars
nickel	1/4 oz bag of marijuana
nickel bag	$5 worth of drugs
nickel deck	heroin
nickel note	$5 bill
nickelonians	crack addicts
niebla	pcp
nieve	cocaine
nigra	marijuana
nike	nigga kill everyone
nike	night i killed Eric
nimbies	depressants
nine ball	9 ounces of crack cocaine
nineteen	amphetamine
nipsy	less than an ounce of drugs
nix	stranger among the group
no worries	depressant
nod	effects of heroin
nods	codeine cough syrup
noi	nation of Islam, sometimes called black Muslims
noise	heroin
nontoucher	crack user who doesn't want affection during or after smoking crack
northern lights	marijuana
northern lights	marijuana from canada
nose	cocaine
nose candy	cocaine
nose drops	liquefied heroin
nose powder	cocaine
nose stuff	cocaine
nox	use of nitrous oxide andmdma
nubs	peyote
nuestrfamilia	parent Californian prison gang to most northern Californian street gangs
nug	cannabis
nugget	amphetamine
nuggets	crack cocaine
number	marijuana cigarette
number 3	cocaine
number 4	heroin
number 8	heroin
nurse	heroin
o	opium
oatmeal	marijuana
oc	oxycontin
oc	oxycotin
ocean cities	oxycotin
ocean citys	oxycontin
ocs	oxycontin
octane	pcp laced with gasoline
offo	outlaws forever, forever outlaws
og	original gangster
ogoy	heroin
oil	heroin
oj	marijuana
old garbage	heroin
old navy	heroin
old steve	heroin
on a mission	searching for crack and/or being high on crack
on a trip	under the influence of drugs
on ice	in jail
on the ball	when a dealer shaves a slice of mdma into a bag of heroin
on the bricks	walking the streets
on the nod	under the influence of narcotics or depressant
one and one	to inhale cocaine
one and ones	talwin and ritalin combination injected 
one bomb	100 rocks of crack cocaine
one on one house	where cocaine and heroin can be purchased
one percenters	1% of motorcycle riders are gang members
one plus one sales	selling cocaine and heroin together
one tissue box	1 ounce of crack
one way	lsd
one-fifty-one	crack
one-stop shop	place where more than one drug is sold
onion	1 oz of crack cocaine
oolies	marijuana cigarettes laced with crack
op	opium
ope	opium
opp	pcp
opps	opposition - referring to rival and/or law enforcement
optical illusions	lsd
orange bandits	mdma
orange barrels	lsd
orange crystal	pcp
orange cubes	lsd
orange haze	lsd
orange line	heroin
orange micro	lsd
orange wedges	lsd
oranges	amphetamine
organic quaalude	gamma hydroxybutyrate (ghb)
original gangster	gang member who is usually 20 to 25+ years old
os	oxycontin
otf	on five
otf	only family
otk	out to kill
outerlimits	crack and lsd
outfit	syringe
owsley	lsd
owsley's acid	lsd
ox	oxycontin
oxicotten	a semi-synthetic opiate
oxies	oxycodone
oxy	oxycontin
oxy 80's	a semi-synthetic opiate
oxycet	a semi-synthetic opiate
oxycotton	oxycontin
oxys	oxycodone
oyster stew	cocaine
oz	one ounce of a drug substance
oz	inhalants
ozone	marijuana, pcp and crack cigarette
ozs	methamphetamine
p and p	methamphetamine used in combination withmdma  and viagra
p-dogs	combination of cocaine and marijuana
p-dope	20-30% pure heroin
p-funk	crack mixed with pcp
pac man	ecstasy
pack a bowl	marijuana
pack of rocks	marijuana cigarette
pagan	they practice witchcraft and magic
pakaloco	"marijuana (""crazy tobacco"")"
pakalolo	marijuana
pakistani black	marijuana
panama cut	marijuana
panama gold	marijuana
panama red	marijuana
panatella	large marijuana cigarette
pancakes and syrup	combination of glutethimide and codeine cough syrup
pane	lsd
pangonadalot	heroin
panic	drugs not available
paper	a dosage unit of heroin
paper acid	lsd
paper bag	container for drugs
paper blunts	marijuana within a paper casing rather than a tobacco leaf casing
paper boy	heroin peddler
paper chaser	drug dealer trying to come up
papers	folded paper used to package drugs
parabolin	oral steroids
parachute	crack and pcp smoked
parachute down	use ofmdma after heroin
paradise	cocaine
paradise white	cocaine
pariba	powder cocaine
parlay	crack cocaine
parsley	marijuana combined with pcp
party and play	methamphetamine used in combination with mdma
party pack 	combination of 2c-b (nexus) with other illicit drugs
paste	crack cocaine
pasto	marijuana
patico	crack cocaine
paz	pcp
pcp	phencyclidine
pcpa	pcp
peace	pcp
peace pill	pcp
peace tablets	lsd
peace weed	pcp
peaches	amphetamine
peanut	depressants
peanut butter	methamphetamine
pearl	cocaine
pearls	amyl nitrite
pearly gates	lsd
pebbles	crack cocaine
peckerwood	white racist person
peddlar	drug supplier
pedico	cocaine
pee wee	young gang member usually between 9 to 12 years old
pee wee	crack cocaine
peep	pcp
peeper(s)	mdma user
peg	heroin
pellets	lsd
pen yan	opium
pentagram	five pointed star
pep pills	amphetamine
pepsi habit	occasional use of drugs
perc-a-pop	a berry-flavoured lozenge containing fentanyl on a stick designed to give relief to cancer patients that is being illegally diverted
percia	cocaine
percio	cocaine
perfect high	heroin
perico	cocaine
perico	cocaine
perlas	street dealer
perp	fake crack made of candle wax and baking soda
peruvian	cocaine
peruvian flake	cocaine
peruvian lady	cocaine
peter	depressants
peter pan	pcp
peth	depressant
peyote	mescaline
peyote	mescaline
pharming	consuming a mixture of prescription substances
phennies	depressants
phenos	depressants
phet	amphetamine
philly blunts	marijuana
pianoing	using the fingers to find lost crack
picking	searching on hands and knees for cocaine or crack
piece	cocaine
piedra	crack cocaine
piff	marijuana
pig killer	pcp
piggybacking	simultaneous injection of 2 drugs
pikachu	pills containing pcp and ecstasy
piles	crack cocaine
pill houses	residences where pills are illicitly sold
pill ladies	female senior citizens who sell oxycontin
pills	oxycontin
pimp	cocaine
pimp your pipe	lending or renting crack pipe or stem
pin	marijuana
pin gon	opium
pin yen	opium
ping-in-wing	to inject a drug
pingus	rohypnol
pink haze	methamphetamine
pink blotters	lsd
pink elephants	methamphetamine
pink hearts	amphetamine
pink ladies	depressants
pink panther	lsd
pink panthers	mdma
pink robots	lsd
pink wedges	lsd
pink witches	lsd
pipe	crack pipe
pipero	crack user
piru	now all gang members from Compton are piru
pit	pcp
pitchforks	represents folk nations power in their struggle to overcome their oppression
pits	pcp
pixies	amphetamine
pk	piru killer
planks	alprazolam
plant	hiding place for drugs
playboy bunnies	mdma
playboys	mdma
pluto	heroin
pnp	party and play
po coke	methamphetamine
po-fiend	one who is addicted to smoking marijuana
pocket rocket	marijuana
pod	marijuana
point	a needle
poison	heroin
poke	marijuana
pollutants	amphetamines
